icd10_code,icd10_desc,icdo4_code,icdo4_desc
C44.52,Squamous cell carcinoma of skin of trunk,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.520,Squamous cell carcinoma of anal skin,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.521,Squamous cell carcinoma of skin of breast,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.529,Squamous cell carcinoma of skin of other part of trunk,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.59,Other specified malignant neoplasm of skin of trunk,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.590,Other specified malignant neoplasm of anal skin,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.591,Other specified malignant neoplasm of skin of breast,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.599,Other specified malignant neoplasm of skin of other part of trunk,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.60,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.602,"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.609,"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.61,"Basal cell carcinoma of skin of upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.611,"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.612,"Basal cell carcinoma of skin of right upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.619,"Basal cell carcinoma of skin of left upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.62,"Squamous cell carcinoma of skin of upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.621,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.622,"Squamous cell carcinoma of skin of right upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.629,"Squamous cell carcinoma of skin of left upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.69,"Other specified malignant neoplasm of skin of upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.691,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.692,"Other specified malignant neoplasm of skin of right upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.699,"Other specified malignant neoplasm of skin of left upper limb, including shoulder",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.70,"Unspecified malignant neoplasm of skin of lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.702,"Unspecified malignant neoplasm of skin of right lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.709,"Unspecified malignant neoplasm of skin of left lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.71,"Basal cell carcinoma of skin of lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.711,"Basal cell carcinoma of skin of unspecified lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.712,"Basal cell carcinoma of skin of right lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.719,"Basal cell carcinoma of skin of left lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.72,"Squamous cell carcinoma of skin of lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.721,"Squamous cell carcinoma of skin of unspecified lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.722,"Squamous cell carcinoma of skin of right lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.729,"Squamous cell carcinoma of skin of left lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.79,"Other specified malignant neoplasm of skin of lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.792,"Other specified malignant neoplasm of skin of right lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.799,"Other specified malignant neoplasm of skin of left lower limb, including hip",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.8,Other and unspecified malignant neoplasm of overlapping sites of skin,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.80,Unspecified malignant neoplasm of overlapping sites of skin,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.81,Basal cell carcinoma of overlapping sites of skin,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.82,Squamous cell carcinoma of overlapping sites of skin,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.89,Other specified malignant neoplasm of overlapping sites of skin,87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.9,"Other and unspecified malignant neoplasm of skin, unspecified",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.90,"Unspecified malignant neoplasm of skin, unspecified",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.91,"Basal cell carcinoma of skin, unspecified",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.92,"Squamous cell carcinoma of skin, unspecified",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44.99,"Other specified malignant neoplasm of skin, unspecified",87453/3,"Desmoplastic melanoma, amelanotic (C44._)"
C44,Other and unspecified malignant neoplasm of skin,87454/3,Neurotropic melanoma (C44._)
C44.0,Other and unspecified malignant neoplasm of skin of lip,87454/3,Neurotropic melanoma (C44._)
C44.00,Unspecified malignant neoplasm of skin of lip,87454/3,Neurotropic melanoma (C44._)
C44.01,Basal cell carcinoma of skin of lip,87454/3,Neurotropic melanoma (C44._)
C44.02,Squamous cell carcinoma of skin of lip,87454/3,Neurotropic melanoma (C44._)
C44.09,Other specified malignant neoplasm of skin of lip,87454/3,Neurotropic melanoma (C44._)
C44.1,"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.10,"Unspecified malignant neoplasm of skin of eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.101,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.102,"Unspecified malignant neoplasm of skin of right eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1021,"Unspecified malignant neoplasm of skin of right upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1022,"Unspecified malignant neoplasm of skin of right lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.109,"Unspecified malignant neoplasm of skin of left eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1091,"Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1092,"Unspecified malignant neoplasm of skin of left lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.11,"Basal cell carcinoma of skin of eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.111,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.112,"Basal cell carcinoma of skin of right eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1121,"Basal cell carcinoma of skin of right upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1122,"Basal cell carcinoma of skin of right lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.119,"Basal cell carcinoma of skin of left eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1191,"Basal cell carcinoma of skin of left upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1192,"Basal cell carcinoma of skin of left lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.12,"Squamous cell carcinoma of skin of eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.121,"Squamous cell carcinoma of skin of unspecified eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.122,"Squamous cell carcinoma of skin of right eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1221,"Squamous cell carcinoma of skin of right upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1222,"Squamous cell carcinoma of skin of right lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.129,"Squamous cell carcinoma of skin of left eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1291,"Squamous cell carcinoma of skin of left upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1292,"Squamous cell carcinoma of skin of left lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.13,"Sebaceous cell carcinoma of skin of eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.131,"Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.132,"Sebaceous cell carcinoma of skin of right eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1321,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1322,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.139,"Sebaceous cell carcinoma of skin of left eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1391,"Sebaceous cell carcinoma of skin of left upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1392,"Sebaceous cell carcinoma of skin of left lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.19,"Other specified malignant neoplasm of skin of eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.191,"Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.192,"Other specified malignant neoplasm of skin of right eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1921,"Other specified malignant neoplasm of skin of right upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1922,"Other specified malignant neoplasm of skin of right lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.199,"Other specified malignant neoplasm of skin of left eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1991,"Other specified malignant neoplasm of skin of left upper eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.1992,"Other specified malignant neoplasm of skin of left lower eyelid, including canthus",87454/3,Neurotropic melanoma (C44._)
C44.2,Other and unspecified malignant neoplasm of skin of ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.20,Unspecified malignant neoplasm of skin of ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.201,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.202,Unspecified malignant neoplasm of skin of right ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.209,Unspecified malignant neoplasm of skin of left ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.21,Basal cell carcinoma of skin of ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.211,Basal cell carcinoma of skin of unspecified ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.212,Basal cell carcinoma of skin of right ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.219,Basal cell carcinoma of skin of left ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.22,Squamous cell carcinoma of skin of ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.221,Squamous cell carcinoma of skin of unspecified ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.222,Squamous cell carcinoma of skin of right ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.229,Squamous cell carcinoma of skin of left ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.29,Other specified malignant neoplasm of skin of ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.291,Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.292,Other specified malignant neoplasm of skin of right ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.299,Other specified malignant neoplasm of skin of left ear and external auricular canal,87454/3,Neurotropic melanoma (C44._)
C44.3,Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,87454/3,Neurotropic melanoma (C44._)
C44.30,Unspecified malignant neoplasm of skin of other and unspecified parts of face,87454/3,Neurotropic melanoma (C44._)
C44.300,Unspecified malignant neoplasm of skin of unspecified part of face,87454/3,Neurotropic melanoma (C44._)
C44.301,Unspecified malignant neoplasm of skin of nose,87454/3,Neurotropic melanoma (C44._)
C44.309,Unspecified malignant neoplasm of skin of other parts of face,87454/3,Neurotropic melanoma (C44._)
C44.31,Basal cell carcinoma of skin of other and unspecified parts of face,87454/3,Neurotropic melanoma (C44._)
C44.310,Basal cell carcinoma of skin of unspecified parts of face,87454/3,Neurotropic melanoma (C44._)
C44.311,Basal cell carcinoma of skin of nose,87454/3,Neurotropic melanoma (C44._)
C44.319,Basal cell carcinoma of skin of other parts of face,87454/3,Neurotropic melanoma (C44._)
C44.32,Squamous cell carcinoma of skin of other and unspecified parts of face,87454/3,Neurotropic melanoma (C44._)
C44.320,Squamous cell carcinoma of skin of unspecified parts of face,87454/3,Neurotropic melanoma (C44._)
C44.321,Squamous cell carcinoma of skin of nose,87454/3,Neurotropic melanoma (C44._)
C44.329,Squamous cell carcinoma of skin of other parts of face,87454/3,Neurotropic melanoma (C44._)
C44.39,Other specified malignant neoplasm of skin of other and unspecified parts of face,87454/3,Neurotropic melanoma (C44._)
C44.390,Other specified malignant neoplasm of skin of unspecified parts of face,87454/3,Neurotropic melanoma (C44._)
C44.391,Other specified malignant neoplasm of skin of nose,87454/3,Neurotropic melanoma (C44._)
C44.399,Other specified malignant neoplasm of skin of other parts of face,87454/3,Neurotropic melanoma (C44._)
C44.4,Other and unspecified malignant neoplasm of skin of scalp and neck,87454/3,Neurotropic melanoma (C44._)
C44.40,Unspecified malignant neoplasm of skin of scalp and neck,87454/3,Neurotropic melanoma (C44._)
C44.41,Basal cell carcinoma of skin of scalp and neck,87454/3,Neurotropic melanoma (C44._)
C44.42,Squamous cell carcinoma of skin of scalp and neck,87454/3,Neurotropic melanoma (C44._)
C44.49,Other specified malignant neoplasm of skin of scalp and neck,87454/3,Neurotropic melanoma (C44._)
C44.5,Other and unspecified malignant neoplasm of skin of trunk,87454/3,Neurotropic melanoma (C44._)
C44.50,Unspecified malignant neoplasm of skin of trunk,87454/3,Neurotropic melanoma (C44._)
C44.500,Unspecified malignant neoplasm of anal skin,87454/3,Neurotropic melanoma (C44._)
C44.501,Unspecified malignant neoplasm of skin of breast,87454/3,Neurotropic melanoma (C44._)
C44.509,Unspecified malignant neoplasm of skin of other part of trunk,87454/3,Neurotropic melanoma (C44._)
C44.51,Basal cell carcinoma of skin of trunk,87454/3,Neurotropic melanoma (C44._)
C44.510,Basal cell carcinoma of anal skin,87454/3,Neurotropic melanoma (C44._)
C44.511,Basal cell carcinoma of skin of breast,87454/3,Neurotropic melanoma (C44._)
C44.519,Basal cell carcinoma of skin of other part of trunk,87454/3,Neurotropic melanoma (C44._)
C44.52,Squamous cell carcinoma of skin of trunk,87454/3,Neurotropic melanoma (C44._)
C44.520,Squamous cell carcinoma of anal skin,87454/3,Neurotropic melanoma (C44._)
C44.521,Squamous cell carcinoma of skin of breast,87454/3,Neurotropic melanoma (C44._)
C44.529,Squamous cell carcinoma of skin of other part of trunk,87454/3,Neurotropic melanoma (C44._)
C44.59,Other specified malignant neoplasm of skin of trunk,87454/3,Neurotropic melanoma (C44._)
C44.590,Other specified malignant neoplasm of anal skin,87454/3,Neurotropic melanoma (C44._)
C44.591,Other specified malignant neoplasm of skin of breast,87454/3,Neurotropic melanoma (C44._)
C44.599,Other specified malignant neoplasm of skin of other part of trunk,87454/3,Neurotropic melanoma (C44._)
C44.6,"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.60,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.602,"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.609,"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.61,"Basal cell carcinoma of skin of upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.611,"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.612,"Basal cell carcinoma of skin of right upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.619,"Basal cell carcinoma of skin of left upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.62,"Squamous cell carcinoma of skin of upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.621,"Squamous cell carcinoma of skin of unspecified upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.622,"Squamous cell carcinoma of skin of right upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.629,"Squamous cell carcinoma of skin of left upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.69,"Other specified malignant neoplasm of skin of upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.691,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.692,"Other specified malignant neoplasm of skin of right upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.699,"Other specified malignant neoplasm of skin of left upper limb, including shoulder",87454/3,Neurotropic melanoma (C44._)
C44.7,"Other and unspecified malignant neoplasm of skin of lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.70,"Unspecified malignant neoplasm of skin of lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.702,"Unspecified malignant neoplasm of skin of right lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.709,"Unspecified malignant neoplasm of skin of left lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.71,"Basal cell carcinoma of skin of lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.711,"Basal cell carcinoma of skin of unspecified lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.712,"Basal cell carcinoma of skin of right lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.719,"Basal cell carcinoma of skin of left lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.72,"Squamous cell carcinoma of skin of lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.721,"Squamous cell carcinoma of skin of unspecified lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.722,"Squamous cell carcinoma of skin of right lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.729,"Squamous cell carcinoma of skin of left lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.79,"Other specified malignant neoplasm of skin of lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.792,"Other specified malignant neoplasm of skin of right lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.799,"Other specified malignant neoplasm of skin of left lower limb, including hip",87454/3,Neurotropic melanoma (C44._)
C44.8,Other and unspecified malignant neoplasm of overlapping sites of skin,87454/3,Neurotropic melanoma (C44._)
C44.80,Unspecified malignant neoplasm of overlapping sites of skin,87454/3,Neurotropic melanoma (C44._)
C44.81,Basal cell carcinoma of overlapping sites of skin,87454/3,Neurotropic melanoma (C44._)
C44.82,Squamous cell carcinoma of overlapping sites of skin,87454/3,Neurotropic melanoma (C44._)
C44.89,Other specified malignant neoplasm of overlapping sites of skin,87454/3,Neurotropic melanoma (C44._)
C44.9,"Other and unspecified malignant neoplasm of skin, unspecified",87454/3,Neurotropic melanoma (C44._)
C44.90,"Unspecified malignant neoplasm of skin, unspecified",87454/3,Neurotropic melanoma (C44._)
C44.91,"Basal cell carcinoma of skin, unspecified",87454/3,Neurotropic melanoma (C44._)
C44.92,"Squamous cell carcinoma of skin, unspecified",87454/3,Neurotropic melanoma (C44._)
C44.99,"Other specified malignant neoplasm of skin, unspecified",87454/3,Neurotropic melanoma (C44._)
C44,Other and unspecified malignant neoplasm of skin,87500/0,Dermal naevus (C44._)
C44.0,Other and unspecified malignant neoplasm of skin of lip,87500/0,Dermal naevus (C44._)
C44.00,Unspecified malignant neoplasm of skin of lip,87500/0,Dermal naevus (C44._)
C44.01,Basal cell carcinoma of skin of lip,87500/0,Dermal naevus (C44._)
C44.02,Squamous cell carcinoma of skin of lip,87500/0,Dermal naevus (C44._)
C44.09,Other specified malignant neoplasm of skin of lip,87500/0,Dermal naevus (C44._)
C44.1,"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.10,"Unspecified malignant neoplasm of skin of eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.101,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.102,"Unspecified malignant neoplasm of skin of right eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1021,"Unspecified malignant neoplasm of skin of right upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1022,"Unspecified malignant neoplasm of skin of right lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.109,"Unspecified malignant neoplasm of skin of left eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1091,"Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1092,"Unspecified malignant neoplasm of skin of left lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.11,"Basal cell carcinoma of skin of eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.111,"Basal cell carcinoma of skin of unspecified eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.112,"Basal cell carcinoma of skin of right eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1121,"Basal cell carcinoma of skin of right upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1122,"Basal cell carcinoma of skin of right lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.119,"Basal cell carcinoma of skin of left eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1191,"Basal cell carcinoma of skin of left upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1192,"Basal cell carcinoma of skin of left lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.12,"Squamous cell carcinoma of skin of eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.121,"Squamous cell carcinoma of skin of unspecified eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.122,"Squamous cell carcinoma of skin of right eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1221,"Squamous cell carcinoma of skin of right upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1222,"Squamous cell carcinoma of skin of right lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.129,"Squamous cell carcinoma of skin of left eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1291,"Squamous cell carcinoma of skin of left upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1292,"Squamous cell carcinoma of skin of left lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.13,"Sebaceous cell carcinoma of skin of eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.131,"Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.132,"Sebaceous cell carcinoma of skin of right eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1321,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1322,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.139,"Sebaceous cell carcinoma of skin of left eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1391,"Sebaceous cell carcinoma of skin of left upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1392,"Sebaceous cell carcinoma of skin of left lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.19,"Other specified malignant neoplasm of skin of eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.191,"Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.192,"Other specified malignant neoplasm of skin of right eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1921,"Other specified malignant neoplasm of skin of right upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1922,"Other specified malignant neoplasm of skin of right lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.199,"Other specified malignant neoplasm of skin of left eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1991,"Other specified malignant neoplasm of skin of left upper eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.1992,"Other specified malignant neoplasm of skin of left lower eyelid, including canthus",87500/0,Dermal naevus (C44._)
C44.2,Other and unspecified malignant neoplasm of skin of ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.20,Unspecified malignant neoplasm of skin of ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.201,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.202,Unspecified malignant neoplasm of skin of right ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.209,Unspecified malignant neoplasm of skin of left ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.21,Basal cell carcinoma of skin of ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.211,Basal cell carcinoma of skin of unspecified ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.212,Basal cell carcinoma of skin of right ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.219,Basal cell carcinoma of skin of left ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.22,Squamous cell carcinoma of skin of ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.221,Squamous cell carcinoma of skin of unspecified ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.222,Squamous cell carcinoma of skin of right ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.229,Squamous cell carcinoma of skin of left ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.29,Other specified malignant neoplasm of skin of ear and external auricular canal,87500/0,Dermal naevus (C44._)
C44.291,Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,87500/0,Dermal naevus (C44._)
